State,Year,Literacy Rate,Male Literacy,Female Literacy,total Population,Literate Population
Andaman & Nicobar Islands,2011,86.3,90.1,81.8,380581,328441.403
Andhra Pradesh,2011,67.4,74.8,60,84580777,57007443.7
Arunachal Pradesh,2011,67,73.7,59.6,1383727,927097.09
Assam,2011,73.2,78.8,67.3,31205576,22842481.63
Bihar,2011,63.8,73.5,53.3,104099452,66415450.38
Chandigarh,2011,86.4,90.5,81.4,1055450,911908.8
Chattisgarh,2011,71,81.5,60.6,25545198,18137090.58
Dadra & Nagar Haveli,2011,77.7,86.5,65.9,343709,267061.893
Daman & Diu,2011,87.1,91.5,79.6,243247,211868.137
Delhi,2011,86.3,91,80.9,16787941,14487993.08
Goa,2011,87.4,92.8,81.8,1458545,1274768.33
Gujarat,2011,79.3,87.2,70.7,60439692,47928675.76
Harayana,2011,76.6,85.4,66.8,25351462,19419219.89
Himachal Pradesh,2011,83.8,90.8,76.6,6864602,5752536.476
Jammu and Kashmir,2011,68.7,78.3,58,12541302,8615874.474
Jharkhand,2011,67.6,78.5,56.2,32988134,22299978.58
Karnataka,2011,75.6,82.8,68.1,61095297,46188044.53
Kerala,2011,93.9,96,92,33406061,31368291.28
Lakshadweep,2011,92.3,96.1,88,64473,59508.579
Madhya Pradesh,2011,70.6,80.5,60,72626809,51274527.15
Maharashtra,2011,82.9,89.8,75.5,112374333,93158322.06
Manipur,2011,79.8,86.5,73.2,2727749,2176743.702
Meghhalaya,2011,75.5,77.2,73.8,2966889,2240001.195
Mizoram ,2011,91.6,93.7,89.4,1097206,1005040.696
Nagaland,2011,80.1,83.3,76.7,1978502,1584780.102
Orissa,2011,73.5,82.4,64.4,41974218,30851050.23
Puducherry,2011,86.5,92.1,81.2,1247953,1079479.345
Punjab,2011,76.7,81.5,71.3,27743338,21279140.25
Rajasthan,2011,67.1,80.5,57.2,68548473,45996025.38
Sikkim ,2011,82.2,87.3,76.4,610577,501894.294
Tamil Nadu,2011,80.3,86.8,73.9,72447030,58174965.09
Tripura ,2011,87.8,92.2,83.1,3673917,3225699.126
Uttar Pradesh,2011,80.3,79.2,59.3,199812341,160449309.8
Uttarakhand,2011,69.7,88.3,70.7,10086292,7030145.524
West Bengal,2011,79.6,82.7,71.2,91276115,72655787.54
Telangana,2011,77.1,74.95,57.92,0,0
India,2011,74.04,82.14,65.46,1211026968,896644367.1
Andaman & Nicobar Islands,2001,81.3,42.05897569,57.94102431,356000,289428
Andhra Pradesh,2001,60.47,31.28297982,68.71702018,75728000,45792721.6
Arunachal Pradesh,2001,54.34,28.1117434,71.8882566,1091000,592849.4
Assam,2001,63.25,32.72115882,67.27884118,26638000,16848535
Bihar,2001,47,24.31453699,75.68546301,82879000,38953130
Chandigarh,2001,81.94,42.39006725,57.60993275,901000,738279.4
Chattisgarh,2001,64.66,33.45059493,66.54940507,20796000,13446693.6
Dadra & Nagar Haveli,2001,57.63,29.81376099,70.18623901,220000,126786
Daman & Diu,2001,78.18,40.44490429,59.55509571,158000,123524.4
Delhi,2001,81.67,42.250388,57.749612,13783000,11256576.1
Goa,2001,82.01,42.42628039,57.57371961,1344000,1102214.4
Gujarat,2001,69.14,35.7682359,64.2317641,50597000,34982765.8
Harayana,2001,67.91,35.1319193,64.8680807,21083000,14317465.3
Himachal Pradesh,2001,76.48,39.56544232,60.43455768,6077000,4647689.6
Jammu and Kashmir,2001,55.52,28.72219348,71.27780652,10070000,5590864
Jharkhand,2001,53.56,27.70822556,72.29177444,26909000,14412460.4
Karnataka,2001,60.47,31.28297982,68.71702018,52734000,31888249.8
Kerala,2001,90.86,47.00465598,52.99534402,31839000,28928915.4
Lakshadweep,2001,86.66,44.83186756,55.16813244,61000,52862.6
Madhya Pradesh,2001,63.74,32.9746508,67.0253492,60385000,38489399
Maharashtra,2001,76.88,39.77237455,60.22762545,96752000,74382937.6
Manipur,2001,69.93,36.17692706,63.82307294,2389000,1670627.7
Meghhalaya,2001,62.56,32.36420072,67.63579928,2306000,1442633.6
Mizoram ,2001,88.8,45.93895499,54.06104501,891000,791208
Nagaland,2001,66.59,34.44904294,65.55095706,1989000,1324475.1
Orissa,2001,63.08,32.63321262,67.36678738,36707000,23154775.6
Puducherry,2001,81.24,42.02793585,57.97206415,974000,791277.6
Punjab,2001,69.95,36.18727367,63.81272633,24289000,16990155.5
Rajasthan,2001,60.41,31.25193999,68.74806001,56473000,34115339.3
Sikkim ,2001,68.81,35.59751681,64.40248319,540000,371574
Tamil Nadu,2001,73.45,37.99793068,62.00206932,62111000,45620529.5
Tripura ,2001,73.19,37.86342473,62.13657527,3191000,2335492.9
Uttar Pradesh,2001,56.27,29.11019141,70.88980859,166053000,93438023.1
Uttarakhand,2001,71.62,37.05121573,62.94878427,8480000,6073376
West Bengal,2001,68.64,35.50957062,64.49042938,80221000,55063694.4
Telangana,2001,60.47,31.28297982,68.71702018,0,0
India,2001,64.84,33.54371443,66.45628557,1027015000,665916526
