State Name (India),Year,Population (Male),Population (Female)
Andaman And Nicobar Islands,2021,212000,189000
Andhra Pradesh,2021,26453000,26441000
Arunachal Pradesh,2021,792000,748000
Assam,2021,17938000,17300000
Bihar,2021,64552000,59602000
Chandigarh,2021,657000,558000
Chhattisgarh,2021,14894000,14799000
Delhi,2021,11080000,9721000
Goa,2021,788000,775000
Gujarat,2021,36872000,33417000
Haryana,2021,15728000,13966000
Himachal Pradesh,2021,3760000,3655000
Jammu And Kashmir,2021,7056000,6408000
Jharkhand,2021,19845000,18917000
Karnataka,2021,34037000,33055000
Kerala,2021,17084000,18489000
Ladakh,2021,167000,131000
Lakshadweep,2021,35000,33000
Madhya Pradesh,2021,43907000,41211000
Maharashtra,2021,65004000,60001000
Manipur,2021,1596000,1583000
Meghalaya,2021,1656000,1648000
Mizoram,2021,616000,605000
Nagaland,2021,1137000,1065000
Odisha,2021,23083000,22782000
Puducherry,2021,762000,831000
Punjab,2021,15999000,14454000
Rajasthan,2021,41009000,38781000
Sikkim,2021,359000,321000
Tamil Nadu,2021,38222000,38314000
Telangana,2021,19022000,18794000
The Dadra And Nagar Haveli And Daman And Diu,2021,734000,398000
Tripura,2021,2080000,2010000
Uttar Pradesh,2021,121042000,111259000
Uttarakhand,2021,5876000,5592000
West Bengal,2021,50222000,48182000
Andaman And Nicobar Islands,2011,202330,177614
Andhra Pradesh,2011,42509881,42155652
Arunachal Pradesh,2011,720232,662379
Assam,2011,15954927,15214345
Bihar,2011,54185347,49619290
Chandigarh,2011,580282,474404
Chhattisgarh,2011,12827915,12712281
Dadra And Nagar Haveli ,2011,193178,149675
Daman And Diu,2011,150100,92811
Delhi,2011,8976410,7776825
Goa,2011,740711,717012
Gujarat,2011,31482282,28901346
Haryana,2011,13505130,11847951
Himachal Pradesh,2011,3473892,3382617
Jammu And Kashmir,2011,6665561,5883365
Jharkhand,2011,16931688,16034550
Karnataka,2011,31057742,30072962
Kerala,2011,16021290,17366387
Ladakh,2011,0,0
Lakshadweep,2011,33106,31323
Madhya Pradesh,2011,37612920,34984645
Maharashtra,2011,58361397,54011575
Manipur,2011,1369764,1351992
Meghalaya,2011,1492668,1471339
Mizoram,2011,552339,538675
Nagaland,2011,1025707,954895
Odisha,2011,21201678,20745680
Puducherry,2011,610458,633979
Punjab,2011,14634816,13069417
Rajasthan,2011,35620086,33000926
Sikkim,2011,321661,286027
Tamil Nadu,2011,36158871,35980087
Telangana,2011,0,0
Tripura,2011,1871867,1799165
Uttar Pradesh,2011,104596415,94985062
Uttarakhand,2011,5154178,4962574
West Bengal,2011,46927389,44420347
Andaman And Nicobar Islands,2001,192985,163280
Andhra Pradesh,2001,38286811,37440730
Arunachal Pradesh,2001,573951,517166
Assam,2001,13787799,12850608
Bihar,2001,43153964,39724832
Chandigarh,2001,508224,392690
Chhattisgarh,2001,10452426,10343530
Dadra And Nagar Haveli ,2001,121731,98720
Daman And Diu,2001,92478,65581
Delhi,2001,7570890,6212086
Goa,2001,685617,658381
Gujarat,2001,26344053,24252939
Haryana,2001,11327658,9755331
Himachal Pradesh,2001,3085256,2991992
Jammu And Kashmir,2001,5300574,4769343
Jharkhand,2001,13861277,13048151
Karnataka,2001,26856343,25877615
Kerala,2001,15468664,16369955
Ladakh,2001,0,0
Lakshadweep,2001,31118,29477
Madhya Pradesh,2001,31456873,28928245
Maharashtra,2001,50334270,46417977
Manipur,2001,1207338,1181296
Meghalaya,2001,1167840,1138229
Mizoram,2001,459783,431275
Nagaland,2001,1041686,946950
Odisha,2001,18612340,18094580
Puducherry,2001,486705,487124
Punjab,2001,12963362,11325934
Rajasthan,2001,29381657,27091465
Sikkim,2001,288217,252276
Tamil Nadu,2001,31268654,30842185
Telangana,2001,0,0
Tripura,2001,1636138,1555030
Uttar Pradesh,2001,87466301,78586558
Uttarakhand,2001,4316401,4163161
West Bengal,2001,41487694,38733477
