State/UTs,Total_Pop,Pop_5_17,Pop_0_4
Maharashtra,123144223,29822224,10259401
Kerala,35699443,7456452,2622944
Karnataka,67562686,15921196,5577719
Tamil Nadu,77841267,16676051,5695962
Andhra Pradesh,53903393,11628099,3842986
Uttar Pradesh,237882725,77967566,24457593
West Bengal,99609303,24981474,7996359
Delhi,18710922,4625912,1542599
Chhattisgarh,29436231,8335772,2928692
Rajasthan,81032689,25031439,8622934
Odisha,46356334,12011055,4036989
Gujarat,63872399,16357721,5767678
Madhya Pradesh,85358965,25131677,8784609
Haryana,28204692,6473006,2396840
Bihar,124799926,41941200,15346855
Telengana,38510982,9508836,2941235
Punjab,30141373,6139033,2297072
Assam,35607039,10119889,3670264
Jharkhand,38593948,12048453,4271103
Uttarakhand,11250858,3256772,1028543
Jammu and Kashmir,13606320,3918200,1534105
Himachal Pradesh,7451955,1553575,571930
Goa,1586250,305488,110064
Puducherry,1413542,297751,106713
Manipur,3091545,740131,291556
Tripura,4169794,1029138,366391
Chandigarh,1158473,265914,89005
Meghalaya,3366710,1110340,461336
Arunachal Pradesh,1570458,508371,162291
Nagaland,2249695,712147,224063
Mizoram,1239244,335784,137704
Sikkim,690251,183871,48088
Ladakh,289023,83230,32587
Dadra and Nagar Haveli and Daman and Diu,615724,144653,59683
Lakshadweep,73183,16963,5738
Andaman and Nicobar,417036,91529,31561
