Station Code,Category,Station Name,State Name,Year,Dissolved Oxygen(mg/L) - Min - >5mg/l,Dissolved Oxygen(mg/L) - Max - >5mg/l,Fecal Coliform (MPN/100ML) - Min - <2500MPN/100 ml,Fecal Coliform (MPN/100ML) - Max - <2500MPN/100 ml
1492,Primary Water Quality Criteria for Out Door Bathing,River Yamuna at Yamunotri,Uttarakhand,2018,9.2,9.2,2,2
1492,Primary Water Quality Criteria for Out Door Bathing,River Yamuna at Yamunotri,Uttarakhand,2019,9.8,9.8,2,2
1492,Primary Water Quality Criteria for Out Door Bathing,River Yamuna at Yamunotri,Uttarakhand,2020,10.8,10.8,4,4
1493,Primary Water Quality Criteria for Out Door Bathing,River Yamuna at Hanumanchatti,Uttarakhand,2018,9.4,9.4,680,680
1493,Primary Water Quality Criteria for Out Door Bathing,River Yamuna at Hanumanchatti,Uttarakhand,2019,9,9,11,11
1493,Primary Water Quality Criteria for Out Door Bathing,River Yamuna at Hanumanchatti,Uttarakhand,2020,11.6,11.6,94,94
1494,Primary Water Quality Criteria for Out Door Bathing,River Yamuna at u/so Flakhwardam,Uttarakhand,2018,7.6,9.4,5,5
1494,Primary Water Quality Criteria for Out Door Bathing,River Yamuna  at u/s of Lakhwardam,Uttarakhand,2019,8.8,10,22,45
1494,Primary Water Quality Criteria for Out Door Bathing,River Yamuna at u/s of lakhwardam,Uttarakhand,2020,8.6,10.8,BDL,9
1494,Primary Water Quality Criteria for Out Door Bathing,River Yamuna at u/s of Lakhwardam,Uttarakhand,2021,9.2,10.2,2,2
1490,Primary Water Quality Criteria for Out Door Bathing,River Yamuna at u/s Dakpatthar,Uttarakhand,2018,8.6,9.2,NA,NA
1490,Primary Water Quality Criteria for Out Door Bathing,River Yamuna at u/s Dakpatthar,Uttarakhand,2019,8.6,9.2,70,170
1490,Primary Water Quality Criteria for Out Door Bathing,River Yamuna at u/s Dakpatthar,Uttarakhand,2020,8.2,10.2,17,34
1490,Primary Water Quality Criteria for Out Door Bathing,River Yamuna at u/s Dakpather,Uttarakhand,2021,8,9.8,26,40
1553,Primary Water Quality Criteria for Out Door Bathing,"River Yamuna, u/s Paontasahib",Himachal Pradesh,2018,5,8.2,11,21
1553,Primary Water Quality Criteria for Out Door Bathing,"River Yamuna, u/s Paontasahib",Himachal Pradesh Pradesh,2019,6.2,9.5,14,21
1553,Primary Water Quality Criteria for Out Door Bathing,"River Yamuna,u/s Paontasahib",Himachal Pradesh Pradesh,2020,7.1,9.1,9,46
1553,Primary Water Quality Criteria for Out Door Bathing,"River Yamuna, u/s Paontasahib",Himachal Pradesh,2021,7.3,8.7,11,22
