Rank in 2019,2019 Country,FTAs in India in 2019,%Share in 2019,Rank in 2020,2020 Country,FTAs in India in 2020,%Share in 2020
1,BANGLADESH,2577727,23.6,1,BANGLADESH,549273,20
2,UNITED STATES,1512032,13.8,2,UNITED STATES,394092,14.4
3,UNITED KINGDOM,1000292,9.2,3,UNITED KINGDOM,291874,10.6
4,AUSTRALIA,367241,3.4,4,CANADA,122868,4.5
5,CANADA,351859,3.2,5,RUSSIAN FEDERATION,102166,3.7
6,CHINA,339442,3.1,6,AUSTRALIA,86758,3.2
7,MALAYSIA,334579,3.1,7,FRANCE,74243,2.7
8,SRI LANKA,330861,3,8,GERMANY,72558,2.6
9,GERMANY,264973,2.4,9,MALAYSIA,69897,2.5
10,RUSSIAN FEDERATION,251319,2.3,10,SRI LANKA,68646,2.5
11,FRANCE,247238,2.3,11,THAILAND,52626,1.9
12,JAPAN,238903,2.2,12,JAPAN,48191,1.8
13,SINGAPORE,190089,1.7,13,AFGHANISTAN,47561,1.7
14,THAILAND,169956,1.6,14,NEPAL,40822,1.5
15,NEPAL,164040,1.5,15,CHINA,39586,1.4
Other Countries,Other Countries,2589804,23.7,Other Countries,Other Countries,683605,24.9
Grand Total,Grand Total,10930355,100,Grand Total,Grand Total,2744766,100
