,City ID,City Name,Two Wheelers - Scooters,Two Wheelers - Mopeds,Two Wheelers - Motor Cycles,Cars,Jeeps,Omni Buses,Tractors,Trailers,Others,Total Non-Transport
0,1,Agra,90736,9208.0,684602.0,84557,7143.0,4120.0,43741,117.0,1481,925705.0
1,2,Ahmedabad,2470474,294835.0,451333.5,634533,30858.0,0.0,54315,29094.0,11473,3525582.0
2,3,Allahabad,124674,55956.0,722241.0,15125,10346.0,53.0,33626,53.0,3003,965077.0
3,4,Allapppuzha,0,0.0,148705.0,31917,9009.0,66.5,271,0.0,2307,183200.0
4,5,Aurangabad,45597,19398.0,343551.0,28576,11902.0,183.0,10620,6119.0,2152,468098.0
5,6,Bengaluru,4731159,0.0,0.0,1321815,7672.0,49117.0,14638,11150.0,29607,6165158.0
6,7,Bhopal,121986,0.0,855740.0,169138,0.0,19803.0,20400,0.0,2306,1189373.0
7,8,Chandigarh,175181,1275.0,190085.0,469672,24543.0,0.0,275,0.0,0,861031.0
8,9,Chennai,809900,601632.0,2378160.0,920473,12699.0,8820.0,2754,11773.0,58369,4804580.0
9,10,Coimbatore,371769,328177.0,970877.0,254639,5782.0,306.0,9961,1349.0,23600,1966460.0
10,11,Delhi,6480874,115119.0,451333.5,3061817,0.0,4.0,211,0.0,1620,9659645.0
11,12,Dhanbad,29429,1338.0,462784.0,69176,12896.0,0.0,4721,4142.0,116,584602.0
12,13,Dung Bhilai,486697,74776.0,110446.0,58788,1775.0,7288.0,21203,10922.0,2559,774454.0
13,14,Ghaziabad,185166,27471.0,439883.0,186784,3575.0,858.0,19511,2.0,981,864231.0
14,15,Greater Mumbai,613580,31063.0,1140014.0,911856,29513.0,3714.0,191,102.0,1818,2731851.0
15,16,Hyderabad,0,43403.0,1949096.0,436231,7373.0,25142.0,1899,690.0,25263,2489097.0
16,17,Indore,24974,0.0,1435312.0,255835,0.0,39632.0,35227,0.0,3509,1794489.0
17,18,Jaipur,1882871,0.0,0.0,362256,75869.0,0.0,50101,3050.0,55,2374202.0
18,19,Jamshedpur,57459,9237.0,141877.0,28435,5430.0,32.0,2078,1754.0,0,246302.0
19,20,Jodhpur,755686,0.0,0.0,76297,33185.0,0.0,67454,8679.0,0,941301.0
20,21,Kannur,0,0.0,142354.0,54588,0.0,0.0,73,0.0,3738,200753.0
21,22,Kanpur,293797,41788.0,973484.0,170475,81459.0,10572.0,14659,196.0,8,1586438.0
22,23,Kolkata,342119,23422.0,451333.5,353373,9009.0,66.5,94,1754.0,1401,696987.0
23,24,Kota,600084,0.0,0.0,59497,133818.0,0.0,27208,8618.0,4,717807.0
24,25,Lucknow,424314,73760.0,1084181.0,274853,35592.0,570.0,24919,1727.0,4307,1924223.0
25,26,Madurai,129358,139020.0,594549.0,76439,1607.0,85.0,7395,2246.0,11346,962045.0
26,27,Malappuram,0,0.0,182087.0,70037,0.0,0.0,595,0.0,6844,259563.0
27,28,Meerut,117693,15616.0,368141.0,81269,803.0,15.0,12151,27.0,206,595921.0
28,29,Nagpur,494224,23422.0,742860.0,131529,39224.0,842.0,5716,5459.0,3933,1447209.0
29,30,Nashik,103507,27854.0,396145.0,73231,11428.0,82.0,3199,44164.0,11286,670896.0
30,31,Palakkad,0,0.0,187199.0,41063,0.0,0.0,1510,0.0,3517,233289.0
31,32,Patna,0,1311.0,870766.0,168191,35597.0,0.0,26402,15592.0,4260,1122119.0
32,33,Pune,402816,160467.0,1476514.0,439922,34312.0,718.0,19020,10324.0,8669,2552762.0
33,34,Raipur,679768,121880.0,215440.0,102256,1828.0,13369.0,41904,29038.0,6878,1212361.0
34,35,Rajkot,1223469,284657.0,451333.5,195137,4985.0,0.0,45276,34114.0,10228,1797866.0
35,36,Ranchi,0,11894.0,485028.0,127947,21525.0,0.0,16033,7642.0,0,670069.0
36,37,Srinagar,29230,8530.0,91194.0,97207,6518.0,0.0,1773,111.0,1737,236300.0
37,38,Surat,2004524,239062.0,451333.5,381729,18326.0,0.0,19871,11237.0,4920,2679669.0
38,39,Trichy,122135,252104.0,319280.0,64779,1003.0,80.0,6610,1531.0,7003,774525.0
39,40,Thiruvananthapuram,0,0.0,475045.0,238709,0.0,0.0,346,0.0,10069,724169.0
40,41,Varanasi,125856,45400.0,562755.0,59834,15761.0,208.0,17308,9362.0,1192,837676.0
41,42,Vadodara,1140509,378594.0,451333.5,249216,17812.0,0.0,35297,17730.0,6400,1845558.0
42,43,TOTAL,27691615,3438247.0,21140395.0,12889201,630737.0,185613.0,720556,288114.0,278165,67262643.0
43,44,Share total,41,5.0,31.0,19,1.0,0.0,1,0.0,0,962045.0
